Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
John McConathy,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University,False,False
Bucky McConnell,1953,1953,G,5-10,170,"July 1, 1928",Marshall University,False,False
T.J. McConnell,2016,2016,G,6-2,200,"March 25, 1992",University of Arizona,True,False
Keith McCord,1981,1981,G,6-7,210,"June 22, 1957",University of Alabama at Birmingham,False,False
Tim McCormick,1985,1992,C,6-11,240,"March 10, 1962",University of Michigan,False,False
Jelani McCoy,1999,2008,C,6-10,245,"December 6, 1977","University of California, Los Angeles",False,False
Paul McCracken,1973,1977,G,6-4,180,"September 11, 1950","California State University, Northridge",False,False
Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland,False,False
Rodney McCray,1984,1993,F-G,6-7,220,"August 29, 1961",University of Louisville,False,False
Scooter McCray,1984,1987,F-G,6-9,215,"February 8, 1960",University of Louisville,False,False
Chris McCullough,2016,2016,F,6-11,200,"February 5, 1995",Syracuse University,True,False
John McCullough,1982,1982,G,6-4,190,"October 5, 1956",University of Oklahoma,False,False
Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",University of Arkansas,False,False
Xavier McDaniel,1986,1998,F,6-7,205,"June 4, 1963",Wichita State University,False,False
Jim McDaniels,1972,1978,C-F,6-11,228,"April 2, 1948",Western Kentucky University,False,False
K.J. McDaniels,2015,2016,G-F,6-6,205,"February 9, 1993",Clemson University,True,False
Doug McDermott,2015,2016,F,6-8,225,"January 3, 1992",Creighton University,True,False
Ben McDonald,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine",False,False
Glenn McDonald,1975,1977,F-G,6-6,190,"March 18, 1952","California State University, Long Beach",False,False
Michael McDonald,1998,1998,C,6-10,232,"February 13, 1969",University of New Orleans,False,False
Roderick McDonald,1971,1973,F,6-6,205,"April 9, 1945",Whitworth,False,False
Hank McDowell,1982,1987,F-C,6-9,215,"November 13, 1959",University of Memphis,False,False
Antonio McDyess,1996,2011,F-C,6-9,220,"September 7, 1974",University of Alabama,False,False
Jim McElroy,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University,False,False
Patrick McFarland,1974,1976,F-G,6-5,185,"December 7, 1951",Saint Joseph's University,False,False
Ivan McFarlin,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State University,False,False
Mel McGaha,1949,1949,G,6-1,190,"September 26, 1926",University of Arkansas,False,False
Mitch McGary,2015,2016,F,6-10,255,"June 6, 1992",University of Michigan,True,False
JaVale McGee,2009,2016,C,7-0,270,"January 19, 1988","University of Nevada, Reno",True,False
Mike McGee,1982,1990,G-F,6-5,190,"July 29, 1959",University of Michigan,False,False
Bill McGill,1963,1970,C-F,6-9,225,"September 16, 1939",University of Utah,False,False
George McGinnis,1972,1982,F-C,6-8,235,"August 12, 1950",Indiana University,False,False
Jon McGlocklin,1966,1976,G-F,6-5,205,"June 10, 1943",Indiana University,False,False
Tracy McGrady,1998,2012,F-G,6-8,210,"May 24, 1979",,False,False
Gil McGregor,1972,1972,F,6-8,240,"June 14, 1949",Wake Forest University,False,False
Elton McGriff,1968,1969,C,6-9,225,"August 21, 1942",Creighton University,False,False
Alfred McGuire,1952,1955,G-F,6-2,180,"September 7, 1928",St. John's University,False,True
Allie McGuire,1974,1974,G,6-3,175,"July 10, 1951",Marquette University,False,False
Dick McGuire,1950,1960,G,6-0,180,"January 25, 1926",St. John's University,False,True
Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","California State University, Fresno",True,False
Kevin McHale,1981,1993,F-C,6-10,210,"December 19, 1957",University of Minnesota,False,True
Maurice McHartley,1968,1970,G-F,6-3,185,"August 1, 1942",North Carolina Agricultural and Technical State University,False,False
Jim McIlvaine,1995,2001,C,7-1,240,"July 30, 1972",Marquette University,False,False
Jeff McInnis,1997,2008,G,6-4,190,"October 22, 1974",University of North Carolina,False,False
Kenny McIntosh,1972,1975,F,6-7,225,"January 21, 1949",Eastern Michigan University,False,False
Bob McIntyre,1968,1970,F,6-6,215,"January 23, 1944",St. John's University,False,False
Jerry McKee,1970,1970,G,6-3,190,"August 4, 1946",Ohio University,False,False
Kevin McKenna,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton University,False,False
Forrest McKenzie,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount University,False,False
Stan McKenzie,1968,1974,F-G,6-5,195,"October 6, 1944",New York University,False,False
Derrick McKey,1988,2002,F-C,6-9,205,"October 10, 1966",University of Alabama,False,False
Aaron McKie,1995,2007,G,6-5,209,"October 2, 1972",Temple University,False,False
Billy McKinney,1979,1986,G,6-0,160,"June 5, 1955",Northwestern University,False,False
Bones McKinney,1947,1952,F-C,6-6,185,"January 1, 1919",University of North Carolina,False,False
Carlton McKinney,1990,1992,G,6-4,190,"October 21, 1964",Southern Methodist University,False,False
Ben McLemore,2014,2016,G,6-5,195,"February 11, 1993",University of Kansas,True,False
McCoy McLemore,1965,1972,F-C,6-7,230,"April 3, 1942",Drake University,False,False
George McLeod,1953,1953,F,6-5,200,"January 3, 1931",Texas Christian University,False,False
Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green State University,False,False
Roshown McLeod,1999,2001,F,6-8,221,"November 17, 1975",Duke University,False,False
Jack McMahon,1953,1960,G,6-1,185,"December 3, 1928",St. John's University,False,False
Nate McMillan,1987,1998,G-F,6-5,195,"August 3, 1964",North Carolina State University,False,False
Tom McMillen,1976,1986,F-C,6-11,215,"May 26, 1952",University of Maryland,False,False
Jim McMillian,1971,1979,F,6-5,215,"March 11, 1948",Columbia University,False,False
Shellie McMillon,1959,1962,F,6-5,205,"March 11, 1936",Bradley University,False,False
Mal McMullen,1950,1951,F-C,6-5,210,"August 23, 1927",Xavier University,False,False
Chet McNabb,1948,1948,F,6-2,200,"September 19, 1920",Arizona State University,False,False
Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959",University of California,False,False
Joe McNamee,1951,1952,F-C,6-6,210,"September 24, 1926",University of San Francisco,False,False
Jerel McNeal,2015,2015,G,6-3,200,"June 1, 1987",Marquette University,True,False
Chris McNealy,1986,1988,F,6-7,210,"July 15, 1961",San Jose State University,False,False
Bob McNeill,1961,1962,G,6-1,170,"October 22, 1938",Saint Joseph's University,False,False
Larry McNeill,1974,1979,F-C,6-9,195,"January 31, 1951",Marquette University,False,False
Carl McNulty,1955,1955,G,6-3,185,"February 14, 1930",Purdue University,False,False
Paul McPherson,2001,2001,G,6-4,210,"July 3, 1978",DePaul University,False,False
Roy McPipe,1975,1975,G,6-3,205,"May 5, 1950","Montana State University, Billings",False,False
Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",North Carolina State University,False,False
Jordan McRae,2016,2016,G,6-6,185,"March 28, 1991",University of Tennessee,True,False
Thales McReynolds,1966,1966,G,6-3,185,"June 8, 1943",Miles College,False,False
Josh McRoberts,2008,2016,F,6-10,240,"February 28, 1987",Duke University,True,False
Eric McWilliams,1973,1973,F,6-8,200,"April 18, 1950","California State University, Long Beach",False,False
George Mearns,1947,1948,F,6-3,175,"April 18, 1922",University of Rhode Island,False,False
Stanislav Medvedenko,2001,2007,F,6-10,250,"April 4, 1979",,False,False
Darnell Mee,1994,1995,G,6-5,175,"February 11, 1971",Western Kentucky University,False,False
Jodie Meeks,2010,2016,G,6-4,208,"August 21, 1987",University of Kentucky,True,False
Cliff Meely,1972,1976,F-C,6-8,215,"July 10, 1947",University of Colorado,False,False
Scott Meents,1990,1991,F,6-10,225,"January 4, 1964",University of Illinois at Urbana-Champaign,False,False
Dick Mehen,1950,1952,F-C,6-5,195,"May 20, 1922",University of Tennessee,False,False
Monk Meineke,1953,1958,F-C,6-7,208,"October 30, 1930",University of Dayton,False,False
Carl Meinhold,1948,1949,G-F,6-2,185,"March 29, 1926",Long Island University,False,False
Salah Mejri,2016,2016,C,7-1,245,"June 15, 1986",,True,False
Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State University,True,False
Bill Melchionni,1967,1976,G,6-1,165,"October 19, 1944",Villanova University,False,False
Gary Melchionni,1974,1975,G,6-2,185,"January 19, 1951",Duke University,False,False
Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University,True,False
Ed Melvin,1947,1947,G,5-9,170,"February 13, 1916",Duquesne University,False,False
Dean Meminger,1972,1977,G,6-0,175,"May 13, 1948",Marquette University,False,False
Chuck Mencel,1956,1957,G,6-0,168,"April 21, 1933",University of Minnesota,False,False
John Mengelt,1972,1981,G,6-2,195,"October 16, 1949",Auburn University,False,False
Ken Menke,1950,1950,G,6-0,168,"October 2, 1922",University of Illinois at Urbana-Champaign,False,False
Pops Mensah-Bonsu,2007,2011,F,6-9,240,"September 7, 1983",George Washington University,True,False
Dewitt Menyard,1968,1968,C,6-10,210,"May 24, 1944",University of Utah,False,False
Ron Mercer,1998,2005,G-F,6-7,210,"May 18, 1976",University of Kentucky,False,False
Joe Meriweather,1976,1985,C-F,6-10,215,"October 26, 1953",Southern Illinois University,False,False
Porter Meriwether,1963,1963,G,6-2,180,"March 16, 1940",Tennessee State University,False,False
Tom Meschery,1962,1971,F,6-6,215,"October 26, 1938",Saint Mary's College of California,False,False
Bill Meyer,1968,1968,G,6-3,195,"August 30, 1943",Hiram College,False,False
Loren Meyer,1996,1999,C,6-10,257,"December 30, 1972",Iowa State University,False,False
Dave Meyers,1976,1980,F-C,6-8,215,"April 21, 1953","University of California, Los Angeles",False,False
Stan Miasek,1947,1953,C-F,6-5,210,"August 8, 1924",,False,False
Larry Micheaux,1984,1985,F,6-9,220,"March 24, 1960",University of Houston,False,False
Jordan Mickey,2016,2016,F,6-8,235,"July 9, 1994",Louisiana State University,True,False
Khris Middleton,2013,2016,F-G,6-8,234,"August 12, 1991",Texas A&M University,True,False
Red Mihalik,1947,1947,G,6-0,180,"September 22, 1916",,False,False
Chris Mihm,2001,2009,C,7-0,265,"July 16, 1979",University of Texas at Austin,False,False
Ed Mikan,1949,1954,C-F,6-8,230,"October 20, 1925",DePaul University,False,False
George Mikan,1949,1956,C,6-10,245,"June 18, 1924",DePaul University,False,True
Larry Mikan,1971,1971,F,6-7,210,"April 8, 1948",University of Minnesota,False,False
Vern Mikkelsen,1950,1959,F-C,6-7,230,"October 21, 1928",Hamline University,False,True
Al Miksis,1950,1950,C,6-7,210,"February 2, 1928",Western Illinois University,False,False
Aaron Miles,2006,2006,G,6-1,175,"April 13, 1983",University of Kansas,False,False
C.J. Miles,2006,2016,G-F,6-6,231,"April 18, 1987",,True,False
Darius Miles,2001,2009,F,6-9,210,"October 9, 1981",,False,False
Eddie Miles,1964,1972,G-F,6-4,195,"July 5, 1940",Seattle University,False,False
Marko Milic,1998,1999,G-F,6-6,235,"May 7, 1977",,False,False
Darko Milicic,2004,2013,F-C,7-0,250,"June 20, 1985",,False,False
Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell University,False,False
Andre Miller,2000,2016,G,6-3,200,"March 19, 1976",University of Utah,True,False
Anthony Miller,1995,2005,F,6-9,225,"October 22, 1971",Michigan State University,False,False
Bill Miller,1949,1949,F,6-3,190,"November 24, 1924",University of North Carolina,False,False
Bob Miller,1984,1984,F,6-10,230,"July 9, 1956",University of Cincinnati,False,False
Brad Miller,1999,2012,C,6-11,244,"April 12, 1976",Purdue University,False,False
Darius Miller,2013,2015,F,6-8,235,"March 21, 1990",University of Kentucky,True,False
Dick Miller,1981,1981,F,6-6,215,"April 26, 1958",University of Toledo,False,False
Eddie Miller,1953,1954,C-F,6-8,225,"June 18, 1931",Syracuse University,False,False
Harry Miller,1947,1947,C-F,6-4,230,"July 28, 1923",University of North Carolina,False,False
Jay Miller,1968,1971,F,6-5,205,"July 19, 1943",University of Notre Dame,False,False
Larry Miller,1969,1975,G-F,6-4,190,"April 4, 1946",University of North Carolina,False,False
Mike Miller,2001,2016,F-G,6-8,218,"February 19, 1980",University of Florida,True,False
Oliver Miller,1993,2004,C,6-9,280,"April 6, 1970",University of Arkansas,False,False
Quincy Miller,2013,2015,F,6-9,210,"November 18, 1992",Baylor University,True,False
Reggie Miller,1988,2005,G-F,6-7,185,"August 24, 1965","University of California, Los Angeles",False,True
Walt Miller,1947,1947,F,6-2,190,"July 30, 1915",Duquesne University,False,False
Chris Mills,1994,2003,F,6-6,215,"January 25, 1970",University of Arizona,False,False
John Mills,1947,1947,C-F,6-8,203,"September 7, 1919",Western Kentucky University,False,False
Patrick Mills,2010,2016,G,6-0,185,"August 11, 1988",Saint Mary's College of California,True,False
Terry Mills,1991,2001,F,6-10,230,"December 21, 1967",University of Michigan,False,False
Elijah Millsap,2015,2016,G-F,6-6,225,"August 12, 1987",University of Alabama at Birmingham,True,False
Paul Millsap,2007,2016,F,6-8,246,"February 10, 1985",Louisiana Tech University,True,False
Harold Miner,1993,1996,G,6-5,210,"May 5, 1971",University of Southern California,False,False
Yao Ming,2003,2011,C,7-6,310,"September 12, 1980",,False,True
Dirk Minniefield,1986,1988,G,6-3,180,"January 17, 1961",University of Kentucky,False,False
Dave Minor,1952,1953,G-F,6-2,185,"February 24, 1922","University of California, Los Angeles",False,False
Greg Minor,1995,1999,G-F,6-6,210,"September 18, 1971",University of Louisville,False,False
Mark Minor,1973,1973,F,6-6,215,"May 14, 1950",Ohio State University,False,False
Nikola Mirotic,2015,2016,F,6-10,220,"February 11, 1991",,True,False
Wat Misaka,1948,1948,G,5-7,150,"December 21, 1923",University of Utah,False,False
Jason Miskiri,2000,2000,G,6-2,175,"August 19, 1975",George Mason University,False,False
Leland Mitchell,1968,1968,G,6-4,210,"February 22, 1941",Mississippi State University,False,False
Mike Mitchell,1979,1988,F,6-7,215,"January 1, 1956",Auburn University,False,False
Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,False,False
Sam Mitchell,1990,2002,F,6-6,210,"September 2, 1963",Mercer University,False,False
Todd Mitchell,1989,1989,F,6-7,205,"July 26, 1966",Purdue University,False,False
Tony Mitchell,2014,2014,F,6-6,216,"August 7, 1989",University of Alabama,True,False
Tony Mitchell,2014,2014,F,6-8,235,"April 7, 1992",University of North Texas,True,False
Steve Mix,1970,1983,F,6-7,215,"December 30, 1947",University of Toledo,False,False
Bill Mlkvy,1953,1953,F,6-4,190,"January 19, 1931",Temple University,False,False
Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",University of Rhode Island,False,False
Eric Mobley,1995,1997,C,6-11,235,"February 1, 1970",University of Pittsburgh,False,False
Doug Moe,1968,1972,F-G,6-5,215,"September 21, 1938",University of North Carolina,False,False
Larry Moffett,1978,1978,F,6-8,210,"November 5, 1954","University of Nevada, Las Vegas",False,False
Leo Mogus,1947,1951,F-C,6-4,190,"April 13, 1921",Youngstown State University,False,False
Nazr Mohammed,1999,2016,C,6-10,221,"September 5, 1977",University of Kentucky,True,False
Jerome Moiso,2001,2005,F,6-10,235,"June 15, 1978","University of California, Los Angeles",False,False
Paul Mokeski,1980,1991,C-F,7-0,250,"January 3, 1957",University of Kansas,False,False
Jack Molinas,1954,1954,F,6-6,200,"October 31, 1931",Columbia University,False,False
Wayne Molis,1967,1968,F,6-8,230,"April 17, 1943",Lewis University,False,False
Sidney Moncrief,1980,1991,G,6-3,180,"September 21, 1957",University of Arkansas,False,False
Eric Money,1975,1980,G,6-0,170,"February 6, 1955",University of Arizona,False,False
Sergei Monia,2006,2006,F,6-8,220,"April 15, 1983",,False,False
Earl Monroe,1968,1980,G,6-3,185,"November 21, 1944",Winston-Salem State University,False,True
Greg Monroe,2011,2016,C-F,6-11,265,"June 4, 1990",Georgetown University,True,False
Rodney Monroe,1992,1992,G,6-3,185,"April 16, 1968",North Carolina State University,False,False
Luis Montero,2016,2016,G,6-7,185,"April 6, 1993",Westchester CC,True,False
Howie Montgomery,1963,1963,F,6-5,220,"August 22, 1940",University of Texas-Pan American,False,False
Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",University of North Carolina,False,False
Jamario Moon,2008,2012,F,6-8,205,"June 13, 1980",Meridian Community College,False,False
Jim Mooney,1953,1953,F,6-5,215,"July 8, 1930",Villanova University,False,False
Andre Moore,1988,1988,F,6-9,215,"July 2, 1964",Loyola University of Chicago,False,False
E'Twaun Moore,2012,2016,G,6-4,191,"February 28, 1989",Purdue University,True,False
Gene Moore,1969,1975,C-F,6-9,225,"July 29, 1945",Saint Louis University,False,False
Jackie Moore,1955,1957,F,6-5,180,"September 24, 1932",La Salle University,False,False
Johnny Moore,1981,1990,G,6-1,175,"March 3, 1958",University of Texas at Austin,False,False
Larry Moore,1968,1968,F,6-7,215,,,False,False
Lowes Moore,1981,1983,G,6-1,170,"May 5, 1957",West Virginia University,False,False
Mikki Moore,1999,2012,C,6-11,225,"November 4, 1975",University of Nebraska,False,False
